,scene_id,frame_id,rgb_path,visib_fract,obj_id,idx_obj,obj_poses
0,000000,416,datasets/bop23_challenge/datasets/ycbv/train_pbr/000000/rgb/000416.jpg,0.9860184710107748,1,2,"[[ 9.10197854e-01 -4.13820684e-01  1.70966797e-02  2.50239372e+01]
 [ 4.13105875e-01  9.10039663e-01  3.42257135e-02 -8.29400864e+01]
 [-2.97219623e-02 -2.40894333e-02  9.99267876e-01  1.19344202e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
1,000004,448,datasets/bop23_challenge/datasets/ycbv/train_pbr/000004/rgb/000448.jpg,0.899682251475261,1,8,"[[ 2.05826655e-01 -9.52862203e-01  2.22911164e-01  3.70892448e+01]
 [ 9.75105703e-01  1.80500984e-01 -1.28796607e-01 -5.15159721e+01]
 [ 8.24896619e-02  2.43871704e-01  9.66292977e-01  6.85958435e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2,000001,41,datasets/bop23_challenge/datasets/ycbv/train_pbr/000001/rgb/000041.jpg,0.9933415770950252,1,8,"[[ 9.96445239e-01  7.34034628e-02 -4.13371660e-02  7.82993884e-05]
 [-6.00514933e-02  9.63048160e-01  2.62549281e-01 -1.84279081e-04]
 [ 5.90817034e-02 -2.59133607e-01  9.64032769e-01  1.12199207e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
3,000004,919,datasets/bop23_challenge/datasets/ycbv/train_pbr/000004/rgb/000919.jpg,0.8851576518841323,1,14,"[[ 9.70814109e-01 -2.09617883e-01  1.16534516e-01 -8.45408325e+01]
 [ 1.79662213e-01  9.57506835e-01  2.25614995e-01  4.54893608e+01]
 [-1.58875540e-01 -1.98093370e-01  9.67221558e-01  1.06773279e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
4,000000,414,datasets/bop23_challenge/datasets/ycbv/train_pbr/000000/rgb/000414.jpg,0.9995102155051777,1,2,"[[ 2.30391294e-01 -9.50459778e-01  2.08677173e-01  8.80417786e+01]
 [ 9.47916627e-01  2.67677575e-01  1.72635138e-01 -2.83802452e+01]
 [-2.19940946e-01  1.58034906e-01  9.62627113e-01  6.78839478e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
5,000005,117,datasets/bop23_challenge/datasets/ycbv/train_pbr/000005/rgb/000117.jpg,0.9975953280659567,1,1,"[[ 9.42171097e-01  1.36801824e-01 -3.05939347e-01  1.08113396e+02]
 [-1.23796366e-01  9.90392923e-01  6.16141669e-02  2.30639858e+01]
 [ 3.11429083e-01 -2.01769080e-02  9.50055182e-01  7.71533447e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
6,000004,493,datasets/bop23_challenge/datasets/ycbv/train_pbr/000004/rgb/000493.jpg,0.998236546062633,1,3,"[[-7.74639130e-01 -6.24234796e-01  1.01317167e-01 -1.27205551e+02]
 [ 6.11902535e-01 -6.99383676e-01  3.69374782e-01 -1.10464294e+02]
 [-1.59717023e-01  3.48128378e-01  9.23740804e-01  9.96566956e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
7,000009,133,datasets/bop23_challenge/datasets/ycbv/train_pbr/000009/rgb/000133.jpg,1.0,1,7,"[[-7.52974629e-01 -5.55332899e-01 -3.53036135e-01  2.73569031e+01]
 [ 6.51082098e-01 -7.06575632e-01 -2.77205676e-01 -2.46154823e+01]
 [-9.55052748e-02 -4.38584358e-01  8.93600881e-01  8.58246033e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
8,000003,988,datasets/bop23_challenge/datasets/ycbv/train_pbr/000003/rgb/000988.jpg,0.9999492823451843,1,7,"[[ 8.38861525e-01  3.22629273e-01 -4.38430995e-01  1.10162003e+02]
 [-4.11159247e-01  9.03374374e-01 -1.21913567e-01 -8.91438065e+01]
 [ 3.56734455e-01  2.82533526e-01  8.90457988e-01  9.17998962e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
9,000009,299,datasets/bop23_challenge/datasets/ycbv/train_pbr/000009/rgb/000299.jpg,1.0,1,8,"[[-9.27447915e-01 -1.48760118e-02  3.73656929e-01  3.12001991e+00]
 [-7.22683892e-02 -9.73242104e-01 -2.18122855e-01  4.52901001e+01]
 [ 3.66903365e-01 -2.29301125e-01  9.01555836e-01  7.84591736e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
10,000002,133,datasets/bop23_challenge/datasets/ycbv/train_pbr/000002/rgb/000133.jpg,0.9998750624687656,1,5,"[[-7.24667966e-01 -5.87172806e-01 -3.60672235e-01  1.09942257e+00]
 [ 5.06742597e-01 -8.08765829e-01  2.98512459e-01 -1.40712423e+01]
 [-4.66977775e-01  3.35544273e-02  8.83632183e-01  8.12420166e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
